Date,Orders
1-2018,14375.67
2-2018,15635.32
3-2018,13526.79
4-2018,19046
5-2018,11703.39
6-2018,30758.989999999998
7-2018,28804.88
8-2018,17307.73
9-2018,33468.42
10-2018,17646.190000000002
11-2018,14863.18
12-2018,13382.45
1-2019,17882.799999999996
2-2019,22161.03
3-2019,14577.249999999998
4-2019,15001.01
5-2019,28906.69
6-2019,20843.739999999998
7-2019,21771.52
8-2019,22681.75
9-2019,20124.899999999998
10-2019,15228.869999999999
11-2019,70332.56000000001
12-2019,21010.019999999997
1-2020,87860.08000000002
2-2020,55647.76000000001
3-2020,71035.55000000005
4-2020,37685.03
5-2020,65204.96000000001
6-2020,73430.71000000002
7-2020,87254.26999999999
8-2020,23781.36
9-2020,20597.519999999997
10-2020,81762.00000000001
11-2020,43255.55000000001
12-2020,33082.96000000001
1-2021,34195
